name,description,url,cleaned_desc
Airplay-SDK,The Best Airplay SDK supports Airplay Mirroring and AirPlay Casting to a receiver device. ,https://github.com/xfirefly/Airplay-SDK,Best Airplay SDK supports Airplay Mirroring and AirPlay Casting to a receiver device.
whatsapp-chatgpt,ChatGPT + DALL-E + WhatsApp = AI Assistant :rocket: :robot:,https://github.com/askrella/whatsapp-chatgpt,ChatGPT + DALL-E + WhatsApp
pyspur,AI Agent Builder in Python,https://github.com/PySpur-Dev/pyspur,Agent Builder in Python
airsonos,:musical_note: AirPlay to Sonos,https://github.com/stephen/airsonos,AirPlay to Sonos
trustworthyAI,Trustworthy AI related projects,https://github.com/huawei-noah/trustworthyAI,Trustworthy AI related projects
ai2html,A script for Adobe Illustrator that converts your Illustrator artwork into an html page.,https://github.com/newsdev/ai2html,script for Adobe Illustrator that converts your Illustrator artwork into an html page.
SWIFT-AI,A fast gigapixel processing system,https://github.com/liwenxi/SWIFT-AI,fast gigapixel processing system
cortex.cpp,Local AI API Platform,https://github.com/janhq/cortex.cpp,Local AI API Platform
x,Craft AI-driven interfaces effortlessly 🤖,https://github.com/ant-design/x,Craft AI-driven interfaces effortlessly
AIGenerateCode,Android谷歌上架马甲包垃圾代码混淆,https://github.com/520CCC/AIGenerateCode,Android
AirPodsDesktop,"☄️ AirPods desktop user experience enhancement program, for Windows and Linux (WIP)",https://github.com/SpriteOvO/AirPodsDesktop,"rPods desktop user experience enhancement program, for Windows and Linux (WIP"
twitterbio,Generate your Twitter bio with AI,https://github.com/Nutlope/twitterbio,Generate your Twitter bio with AI
AI-on-the-edge-device,"Easy to use device for connecting ""old"" measuring units (water, power, gas, ...) to the digital world",https://github.com/jomjol/AI-on-the-edge-device,"Easy to use device for connecting old measuring units (water, power, gas,."
ai,Artificial Intelligence Fundamental Concepts,https://github.com/farrokhkarimi/ai,Artificial Intelligence Fundamental Concepts
semantic-kernel,Integrate cutting-edge LLM technology quickly and easily into your apps,https://github.com/microsoft/semantic-kernel,Integrate cutting-edge LLM technology quickly and easily into your apps
Instagram-AI-Agent,"Instagram Ai Agent 🌸 is built using Node.js and TypeScript 🛠️, designed for seamless job execution 📸. It's lightweight, efficient, and still evolving 🚧—exciting new features coming soon! 🌟",https://github.com/David-patrick-chuks/Instagram-AI-Agent,"Instagram Ai Agent is built using Node. TypeScript, designed for seamless job execution. Its lightweight, efficient, and still evolving exciting new features coming soon!"
